Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions;;;;;;;;
Google,Chromebook,mighty_cheets,2015MB,PC,Rockchip RK3288,1366x768,160,armeabi-v7a;armeabi,25,3.1;;;;;;;
Google,Chromebook,hana_cheets,3938MB,PC,Mediatek MT8173,1366x768,160,armeabi-v7a;armeabi,25,3.2;;;;;;;
Google,Chromebook,wizpig_cheets,3895MB,,Intel N3060,1366x768,160,x86;armeabi-v7a;armeabi,25,3.1;;;;;;
Google,Chromebook,jerry_cheets,2015MB,PC,Rockchip RK3288,1366x768,160,armeabi-v7a;armeabi,25,3.1;;;;;;;
Google,Chromebook,coral_cheets,3828MB,,Intel N3350,1366x768,160,x86;armeabi-v7a;armeabi,25,3.1;;;;;;
Google,Chromebook,reef_cheets,3828MB,PC,Intel N3350,1366x768,160,x86;armeabi-v7a;armeabi,25,3.1;;;;;;
Google,Project Tango Tablet Development Kit,yellowstone,3773MB,Tablet,NVidia Tegra K1-CA15,1920x1200,320,armeabi-v7a;armeabi,19,3.0;;;;;;;
Google,Pixel 2 XL,taimen,3647-3648MB,Phone,Qualcomm MSM8998,1440x2880,560,arm64-v8a;armeabi-v7a;armeabi,26;27,3.2;;;;;
Google,Pixelbook,eve_cheets,7870MB,PC,Intel i7-7Y75,2400x1600,240,x86_64;x86;armeabi-v7a;armeabi,25,3.1;;;;;
Gplus,GPLUS_A2_Plus,GPLUS_A2_Plus,3864MB,Phone,Mediatek MT6757V,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,24,3.2;;;;;;
GSmart,Saga_S3,Saga_S3,966MB,Phone,Mediatek MT6582,720x1280,320,armeabi-v7a;armeabi,17,2.0;;;;;;;
GSmart,Classic,Classic,997MB,Phone,Spreadtrum SC7731,720x1280,320,armeabi-v7a;armeabi,22,2.0;;;;;;;
Gtel,Gtel_X5mini,Gtel_X5mini,1854MB,Phone,Mediatek MT6737,1280x720,320,armeabi-v7a;armeabi,24,3.1;;;;;;;
Gtel,A770_XL7,A770_XL7,2935MB,Phone,Mediatek MT6753,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,22,3.0;;;;;;
Gtel,X5plus,Gtel_X5plus,3835MB,Phone,Mediatek MT6757,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,24,3.2;;;;;;
Gtel,X5,Gtel_X5,3804MB,Phone,Mediatek MT6755,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,24,3.2;;;;;;
Gtel,Gtel X7plus,Gtel_X7plus,5775MB,Phone,Mediatek MT6771,1080x2246,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2;;;;;;
Gtel,Gtel_X5s,Gtel_X5s,2842MB,Phone,Mediatek MT6737T,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.1;;;;;;
Gtel,Gtel X6plus,Gtel_X6plus,3864MB,Phone,Mediatek MT6757V,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,24,3.2;;;;;;
Gtel,A7100 X3,A7100_X3,1917MB,Phone,Mediatek MT6735,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,22,3.0;;;;;;
Haier,A-TT00,A-TT00,,Phone,Qualcomm MSM8660,720x1280,320,armeabi-v7a;armeabi,15,2.0;;;;;;;
Haier,CEDTAB70616W8,CEDTAB70616W8,999MB,Tablet,Rockchip RK3126,1024x600,160,armeabi-v7a;armeabi,22,2.0;;;;;;;
Haier,PAD1042,PAD1042,,Tablet,Rockchip RK3188,1280x800,160,armeabi-v7a;armeabi,17,2.0;;;;;;;
Haier,PAD_1042,PAD_1042,879MB,Tablet,Rockchip RK3188T,1280x800,160,armeabi-v7a;armeabi,19,2.0;;;;;;;
Haier,Haier,Homesurf744,418MB,Tablet,Allwinner A23,800x480,160,armeabi-v7a;armeabi,19,2.0;;;;;;;
Haier,Haier,W627,466MB,Phone,Mediatek MT6572M,480x800,240,armeabi-v7a;armeabi,19,2.0;;;;;;;
Haier,Haier,PAD69H,,Tablet,Amlogic AML8726-M6,800x480,120,armeabi-v7a;armeabi,16,2.0;;;;;;;
Haier,Haier,PAD_D85,972MB,Tablet,Mediatek MT8389,1024x768,160,armeabi-v7a;armeabi,17,2.0;;;;;;;
Haier,Haier,W861,911MB,Phone,Qualcomm MSM8212,720x1280,320,armeabi-v7a;armeabi,19,3.0;;;;;;;
Haier,Haier Leisure L7,Haier_Leisure_L7,2864MB,Phone,Qualcomm MSM8937,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,25,3.2;;;;;;
Haier,HaierG61,HM-G701-FL,901MB,Phone,Mediatek MT6737M,720x1280,320,armeabi-v7a;armeabi,24,3.1;;;;;;;
Haier,Voyage V6,HM-V6,2876MB,Phone,Mediatek MT6750,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23,3.0;;;;;;
Haier,G40,G40,1928MB,Phone,Spreadtrum SC7731,480x854,240,armeabi-v7a;armeabi,22,2.0;;;;;;;
Haier,MD-01P,MD-01P,898MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,22,3.0;;;;;;;
Handheld Group,Algiz RT7,algizRT7,888-1893MB,Tablet,Qualcomm MSM8916,1024x600,160,arm64-v8a;armeabi-v7a;armeabi,22;23,3.0;;;;;
Handheld Group,Nautiz_X9,Nautiz_X9,1891MB,Phone,Mediatek MT6735,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.1;;;;;;
Harris,RF-3590-RT,msm8660_cougar,,Tablet,Qualcomm APQ8060,1024x600,160,armeabi-v7a;armeabi,13;15,2.0;;;;;;
Helio,S25,HelioS25,3768MB,Phone,Mediatek MT6755,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23,3.0;;;;;;
Helio,S10,S10,3804MB,Phone,Mediatek MT6755,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,24,3.2;;;;;;
Hercls,HERCLS L925,L925,3877MB,Phone,Mediatek MT6750,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,24,3.2;;;;;;
Hipstreet,F100,f100_65u,997MB,Phone,Mediatek MT6735,540x960,240,arm64-v8a;armeabi-v7a;armeabi,22,3.0;;;;;;
Hipstreet,CP-VL5A,CP-VL5A,997MB,Phone,Mediatek MT6572,480x800,320,armeabi-v7a;armeabi,22,3.0;;;;;;;
Hipstreet,Yupiroid,Yupiroid,894MB,Tablet,Intel Z3735G,1280x800,213,x86;armeabi-v7a;armeabi,19,3.0;;;;;;
Hisense,X1E1,X1E1,2048MB,Phone,Qualcomm MSM8974AB,1080x1920,320,armeabi-v7a;armeabi,19,3.0;;;;;;;
Hisense,M470BSS,m470bss,972MB,Tablet,NVidia Tegra 3 T30,800x1280,213,armeabi-v7a;armeabi,17,2.0;;;;;;;
Hisense,I632T,I632T,,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,19,3.0;;;;;;;
Hisense,HLTE500T,HSSDM630QC,4096MB,Phone,Qualcomm SDM630,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,25,3.2;;;;;;
Hisense,HS-T9,T9,1933MB,Phone,Qualcomm MSM8130,720x1280,320,armeabi-v7a;armeabi,17,2.0;;;;;;;
Hisense,L678,HS8916QC,1024-2048MB,Phone,Qualcomm MSM8916,540x960,320,armeabi-v7a;armeabi,19;22,3.0;;;;;;
Hisense,M470BSE,m470bse,972MB,Tablet,NVidia Tegra 3 T30,800x1280,213,armeabi-v7a;armeabi,17,2.0;;;;;;;
Hisense,M3101BW,m3101,,,NVidia Tegra 3 T30,1280x752,160,armeabi-v7a;armeabi,15,2.0;;;;;;;
Hisense,H910-F01,HS8939QC,2048MB,Phone,Qualcomm MSM8939,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,19;22,3.0;;;;;
Hisense,I632M,I632M,,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,19,3.0;;;;;;;
Hisense,HLTE501N,HSSDM660QC,6144MB,Phone,Qualcomm SDM660,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,25,3.2;;;;;;
Hisense,M470BSG,m470bsg,972MB,Tablet,NVidia Tegra 3 T30,800x1280,213,armeabi-v7a;armeabi,17,2.0;;;;;;;
Hisense,AGM X1,HS8952QC,4096MB,Phone,Qualcomm MSM8952,1080x1920;720x1280,480,arm64-v8a;armeabi-v7a;armeabi,22;25,3.1;3.ﬁub;;;
Hisense,C1AE-2,HS8929QC,2048MB,Phone,Qualcomm MSM8929,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,21;22,3.0;;;;;
Hisense,L675,HS6735MT,1024MB,Phone,Mediatek MT6735,720x1280,320,armeabi-v7a;armeabi,21;23,3.0;;;;;;
Hisense,M470BSD,m470bsd,972MB,Tablet,NVidia Tegra 3 T30,800x1280,213,armeabi-v7a;armeabi,17,2.0;;;;;;;
Hisense,VIDAA_TV,Hi3751v620,1834MB,TV,HiSilicon Hi3751V620,1920x1080,320,arm64-v8a;armeabi-v7a;armeabi,22,2.0;;;;;;
Hisense,VIDAA_TV,mt5890,879MB,TV,Mediatek MT5329,3840x2160,320,armeabi-v7a;armeabi,19,3.0;;;;;;;
Hisense,VIDAA_TV,Hi3751,1498MB,TV,HiSilicon Hi3751,3840x2160,320,armeabi-v7a;armeabi,19,2.0;;;;;;;
Hisense,VIDAA_TV,MSD6A828,997MB,TV,MStar MSD6A828,3840x2160,320,arm64-v8a;armeabi-v7a;armeabi,22,2.0;;;;;;
Hisense,G1,G1,977MB,Tablet,NVidia Tegra 3 T30,600x1024,160,armeabi-v7a;armeabi,16,2.0;;;;;;;
Hisense,CMB510,L696,1024MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,19,3.0;;;;;;;
Hisense,F32,HS8937QC,2048-3072MB,Phone,Qualcomm MSM8937,1080x1920;720x1280,320;480,arm64-v8a;armeabi-v7a;armeabi,23;24;25,3.1;3.ﬁub;
Hisense,U988,U988,1024MB,Phone,Mediatek MT6589T,720x1280,320,armeabi-v7a;armeabi,19,3.0;;;;;;;
Hisense,M470BSA,m470,972MB,Tablet,NVidia Tegra 3 T30,800x1280,213,armeabi-v7a;armeabi,17,2.0;;;;;;;
Hisense,G2-3GP,G2-3GP,974MB,Tablet,NVidia Tegra 3,800x1280,213,armeabi-v7a;armeabi,16,2.0;;;;;;;
Hisense,AGM  X2,HS8976QC,6144MB,Phone,Qualcomm MSM8976,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,25,3.2;;;;;;
Hisense,M370BW,m370,982MB,,NVidia Tegra 3 T30,1024x552,160,armeabi-v7a;armeabi,16,2.0;;;;;;;
Hisense,CMB405,L690AE,1024MB,Phone,Qualcomm MSM8916,540x960,240,armeabi-v7a;armeabi,19,3.0;;;;;;;
Hisense,U988E-1,U988E_1,1024MB,Phone,Qualcomm MSM8x10,720x1280,320,armeabi-v7a;armeabi,19,3.0;;;;;;;
Hisense,M30M,HS9830SP,921-997MB,Phone,Spreadtrum SC9830A,480x854,240;320,armeabi-v7a;armeabi,19;22,2.0;;;;;
Hisense,A2T,HS8953QC,4096MB,Phone,Qualcomm MSM8953,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,25,3.2;;;;;;
HKT,eye3,UY3-PCW,994MB,Tablet,Mediatek MT8125,1280x800,213,armeabi-v7a;armeabi,17,2.0;;;;;;;
Hoffmann,X Max,X-Max,2869MB,Phone,Mediatek MT6737,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.1;;;;;;
HOMTOM,HT70,HT70,3827MB,Phone,Mediatek MT6750T,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,24,3.2;;;;;;
Honeywell,CT60-L0-C,CT60-L0-C,2733MB,Phone,Qualcomm SDM660,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,25,3.2;;;;;;
Honeywell,CT60,CT60-L0N-ASC,2738MB,Phone,Qualcomm SDM660,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,25,3.2;;;;;;
Honeywell,CT50,CT50L0N-CS12S,1864MB,Phone,Qualcomm APQ8074,720x1280,320,armeabi-v7a;armeabi,19,3.0;;;;;;;
Honeywell,CT50,CT50LFN-CS16S,1872MB,Phone,Qualcomm MSM8974AB,720x1280,320,armeabi-v7a;armeabi,23,3.0;;;;;;;
Honeywell,CT50,CT50L0N-CS16S,1872MB,Phone,Qualcomm APQ8074,720x1280,320,armeabi-v7a;armeabi,23,3.0;;;;;;;
Honeywell,CT50,CT50L0N-CS15S,1872MB,Phone,Qualcomm APQ8074,720x1280,320,armeabi-v7a;armeabi,23,3.0;;;;;;;
Honeywell,CT50,CT50LUN-CS15S,1872MB,Phone,Qualcomm APQ8074,720x1280,320,armeabi-v7a;armeabi,23,3.0;;;;;;;
Honeywell,CT50,CT50LUN-CS12S,1864MB,Phone,Qualcomm MSM8974,720x1280,320,armeabi-v7a;armeabi,19,3.0;;;;;;;
Honeywell,CT50,CT50LUN-CS16S,1872MB,Phone,Qualcomm MSM8974AB,720x1280,320,armeabi-v7a;armeabi,23,3.0;;;;;;;
Honeywell,Dolphin CT50,CT50LUN-CS13S,,Phone,Qualcomm MSM8974,720x1280,320,armeabi-v7a;armeabi,19,3.0;;;;;;;
Honeywell,Dolphin CT50,CT50LFN-CS13S,,Phone,Qualcomm MSM8974,720x1280,320,armeabi-v7a;armeabi,19,3.0;;;;;;;
Honeywell,Dolphin CT50,CT50L0N-CS13S,,Phone,Qualcomm APQ8074,720x1280,320,armeabi-v7a;armeabi,19,3.0;;;;;;;
Honeywell,D75E,75E-L0N,1872MB,Phone,Qualcomm MSM8974AB,480x800,240,armeabi-v7a;armeabi,19;23,3.0;;;;;;
Honeywell,CT60-L1N-C,CT60-L1-C,2733MB,Phone,Qualcomm SDM660,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,25,3.2;;;;;;
HP,SlateBook 10 x2 PC,3645,1829-1845MB,PC,NVidia Tegra 4,1920x1200,240,armeabi-v7a;armeabi,17;18,2.0;;;;;;
HP,Slate 8 Plus,vogue,879-888MB,Phone,HiSilicon KIRIN910,800x1280,213,armeabi-v7a;armeabi,17;19,2.0;;;;;;
HP,Slate 7 HD,bonsai7,859-927MB,Tablet,Marvell PXA986,800x1280,213,armeabi-v7a;armeabi,17;19,2.0;;;;;;
HP,Slate 10 HD,bonsai10,859-927MB,Tablet,Marvell PXA986,1280x800,160,armeabi-v7a;armeabi,17;19,2.0;;;;;;
HP,Slate 7 Extreme,olive,832-840MB,Tablet,NVidia Tegra 4 T40,800x1280,213,armeabi-v7a;armeabi,17;18;19,2.0;;;;;
HP,SlateBook 14,200a,1845MB,PC,NVidia Tegra 4 T40,1920x1080,160,armeabi-v7a;armeabi,18;19,2.0;;;;;;
HP,Chromebook x360 11 G1 EE,snappy_cheets,3828MB,PC,Intel N3350,1366x768,160,x86;armeabi-v7a;armeabi,25,3.1;;;;;;
HP,Tablet 10,balsa,764MB,Tablet,Broadcom BCM28155,1280x800,160,armeabi-v7a;armeabi,16,2.0;;;;;;;
HP,Slate 7 Beats Special Edition,fairfax,840MB,Tablet,NVidia Tegra 4 T40,1280x800,213,armeabi-v7a;armeabi,19,2.0;;;;;;;
HP,Voice Tab 7,almond,921-949MB,Phone,Marvell PXA1088,800x1280,213,armeabi-v7a;armeabi,17;19,2.0;;;;;;
HP,Pro Slate 8,malamute,1842-1875MB,Tablet,Qualcomm APQ8074AB,1536x2048,320,armeabi-v7a;armeabi,19;21;22,3.0;;;;;
HP,Slate 6 Voice Tab II,avocado,922MB,Phone,Marvell PXA1088,720x1280,240,armeabi-v7a;armeabi,19,2.0;;;;;;;
HP,Pro 8 Tablet with Voice,neetu,1900-1925MB,Tablet,Mediatek MT8735,800x1280,213,arm64-v8a;armeabi-v7a;armeabi,23;24,3.0;3.Oca;;;;
HP,Pro Slate 12,dane,1858-1875MB,Tablet,Qualcomm APQ8074AB,1600x1200,160,armeabi-v7a;armeabi,19;21;22,3.0;;;;;
HP,Slate 17,franky,1859MB,Tablet,Intel N2807,1920x1080,160,x86;armeabi-v7a;armeabi,19,3.0;;;;;;
HP,Chromebook x2,soraka_cheets,3845MB,Tablet,Intel i7-7Y75,2400x1600,240,x86_64;x86;armeabi-v7a;armeabi,25,3.1;;;;;
HP,Slate 6 Voice Tab,pomegranate,922-949MB,Phone,Marvell PXA1088,720x1280,240,armeabi-v7a;armeabi,17;19,2.0;;;;;;
HP,Slate8 Pro,fig,861-863MB,Tablet,NVidia Tegra 4 T40,1200x1600,240,armeabi-v7a;armeabi,17;19,2.0;;;;;;
HP,Slate 8 Pro,dogwood,861MB,Tablet,NVidia Tegra 4 T40,1200x1600,240,armeabi-v7a;armeabi,19,2.0;;;;;;;
HP,Slate 6 VoiceTab Plus,mekong,847MB,Tablet,Qualcomm MSM8926,720x1280,240,armeabi-v7a;armeabi,19,3.0;;;;;;;
HP,Slate 7 VoiceTab Ultra,charm,1879-1895MB,Phone,HiSilicon KIRIN910,1200x1920,320;400,armeabi-v7a;armeabi,17;19,2.0;;;;;
HTC,ISW13HT,valentewx,,Phone,Qualcomm MSM8660A,960x540,240,armeabi-v7a;armeabi,15,2.0;;;;;;;
HTC,One (E8),htc_mecwhl,1823MB,Phone,Qualcomm MSM8974AB,1080x1920,480,armeabi-v7a;armeabi,19;21;23,3.0;;;;;
HTC,One (E8),htc_mecul,1823MB,Phone,Qualcomm MSM8974AC,1080x1920,480,armeabi-v7a;armeabi,19;21;23,3.0;;;;;
HTC,One_E8,htc_mecul_emea,1823MB,Phone,Qualcomm MSM8974AB,1080x1920,480,armeabi-v7a;armeabi,19;21;23,3.0;;;;;
HTC,One (E8) Êó∂Â∞öÁâà,htc_mectl,1823MB,Phone,Qualcomm MSM8974,1080x1920,480,armeabi-v7a;armeabi,19;21;23,3.0;;;;;
HTC,One (E8),htc_mecdwg,1823MB,Phone,Qualcomm MSM8974AC,1080x1920,480,armeabi-v7a;armeabi,19;21;23,3.0;;;;;
HTC,One (E8) Êó∂Â∞öÁâà   4G LTEÂèåÂç°ÂèåÂæÖËÅîÈÄöÁâà,htc_mecdug,1823-2019MB,Phone,Qualcomm MSM8974AC,1080x1920,480,armeabi-v7a;armeabi,19;21;23,3.0;;;;;
HTC,8088,t6tl,1545-1813MB,Phone,Qualcomm APQ8064,1080x1920,400;480,armeabi-v7a;armeabi,18;19;21,3.0;;;;
HTC,Butterfly 3,htc_b3tuhl,2743-2747MB,Phone,Qualcomm MSM8994,1440x2560,640,arm64-v8a;armeabi-v7a;armeabi,21;23,3.1;;;;;
HTC,HTCOneMaxVZW,t6wl,1545MB,Phone,Qualcomm APQ8064,1080x1920,400;480,armeabi-v7a;armeabi,18;19,3.0;;;;;
HTC,Nexus 9 LTE,flounder_lte,1835-1836MB,Tablet,NVidia Tegra K1-CA15,1536x2048,320,arm64-v8a;armeabi-v7a;armeabi,21;22;23;24;25,3.1;;
HTC,ONE S,ville,761MB,Phone,Qualcomm MSM8260A,540x960,240,armeabi-v7a;armeabi,15;16,2.0;;;;;;
HTC,One S,villec2,870MB,Phone,Qualcomm MSM8260,540x960,240,armeabi-v7a;armeabi,15;16,2.0;;;;;;
HTC,One XL,evitautl,777MB,Phone,Qualcomm MSM8960,720x1280,320,armeabi-v7a;armeabi,16,2.0;;;;;;;
HTC,One X,evita,777MB,Phone,Qualcomm MSM8960,720x1280,320,armeabi-v7a;armeabi,15;16;17,2.0;;;;;
HTC,One E9PLUS dual sim,htc_a55ml_dtul,2642MB,Phone,Mediatek MT6795,1440x2560,640,arm64-v8a;armeabi-v7a;armeabi,21,3.0;;;;;;
HTC,One mini,m4,774-778MB,Phone,Qualcomm MSM8930,720x1280,320,armeabi-v7a;armeabi,17;18;19,2.0;3.0;;;;
HTC,One mini,htc_m4,774-778MB,Phone,Qualcomm MSM8930,720x1280,320,armeabi-v7a;armeabi,17;18;19,2.0;3.0;;;;
HTC,HTC U11 EYEs,htc_haydtwl,3513MB,Phone,Qualcomm MSM8976,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,25,3.2;;;;;;
HTC,HTC U11 EYEs,htc_haydugl,3513MB,Phone,Qualcomm MSM8976,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,25,3.2;;;;;;
HTC,U11 Life,htc_ocluhljapan,3740MB,Phone,Qualcomm MSM8953 Pro,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,26,3.2;;;;;;
HTC,Velocity 4G,holiday,,Phone,Qualcomm APQ8060,540x960,240,armeabi-v7a;armeabi,10;15,2.0;;;;;;
HTC,One,m7wls,1552-1819MB,Phone,Qualcomm APQ8064,1080x1920,480,armeabi-v7a;armeabi,16;17;18;19;21,2.0;3.0;;
HTC,One,m7cdtu,1006-1813MB,Phone,Qualcomm APQ8064,1080x1920,480,armeabi-v7a;armeabi,17;19;21,2.0;3.0;;;;
HTC,One,m7wlv,1565-1819MB,Phone,Qualcomm APQ8064,1080x1920,480,armeabi-v7a;armeabi,17;18;19;21,2.0;3.0;;;
HTC,Butterfly S,dlxpul,1566-1819MB,Phone,Qualcomm APQ8064,1080x1920,480,armeabi-v7a;armeabi,17;18;19;21,2.0;3.0;;;
HTC,One,m7cdug,1560-1813MB,Phone,Qualcomm APQ8064,1080x1920,480,armeabi-v7a;armeabi,16;17;19;21,2.0;3.0;;;
HTC,One Dual Sim,m7cdwg,1560-1813MB,Phone,Qualcomm APQ8064,1080x1920,480,armeabi-v7a;armeabi,17;19;21,2.0;3.0;;;;
HTC,One Google Play edition,m7,1549-1819MB,Phone,Qualcomm APQ8064,1080x1920,480,armeabi-v7a;armeabi,16;17;18;19;21;22,2.0;3.0;
HTC,HTC6435LVW,dlx,1568-1570MB,Phone,Qualcomm APQ8064,1080x1920,480,armeabi-v7a;armeabi,16;17;19,2.0;3.0;;;;
HTC,U Ultra,htc_oceuhl,3764-3765MB,Phone,Qualcomm MSM8996,1440x2560,640,arm64-v8a;armeabi-v7a;armeabi,24;26,3.2;;;;;
HTC,U Ultra,htc_ocedugl,3764-3765MB,Phone,Qualcomm MSM8996,1440x2560,640,arm64-v8a;armeabi-v7a;armeabi,24;26,3.2;;;;;
HTC,U Ultra,htc_ocedtwl,3764-3765MB,Phone,Qualcomm MSM8996,1440x2560,640,arm64-v8a;armeabi-v7a;armeabi,24;26,3.2;;;;;
HTC,Nexus 9,flounder,1835-1836MB,Tablet,NVidia Tegra K1-CA15,1536x2048,320,arm64-v8a;armeabi-v7a;armeabi,21;22;23;24;25,3.1;;
HTC,M8si,htc_m8qltuhl,1840-1842MB,Phone,Qualcomm MSM8939,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,21;23,3.0;;;;;
HTC,One E9 dual sim,htc_a53ml_dtul,1663MB,Phone,Mediatek MT6795,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,21,3.0;;;;;;
HTC,Desire EYE,htc_eyeul,1823MB,Phone,Qualcomm MSM8974AA,1080x1920,480,armeabi-v7a;armeabi,19;21;23,3.0;;;;;
HTC,Desire EYE,htc_eyetuhl,1823MB,Phone,Qualcomm MSM8974AA,1080x1920,480,armeabi-v7a;armeabi,19;21;22;23,3.0;;;;
HTC,Desire EYE,htc_eyeul_att,1823MB,Phone,Qualcomm MSM8974AA,1080x1920,480,armeabi-v7a;armeabi,19;21,3.0;;;;;;
HTC,Sensation XL with Beats Audio X315e,runnymede,,Phone,Qualcomm MSM8255,800x480,240,armeabi-v7a;armeabi,10;15,2.0;;;;;;
HTC,One S9,htc_himar2uhl,1769MB,Phone,Mediatek MT6795,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23,3.0;;;;;;
HTC,Butterfly 2,htc_b2ul,1823MB,Phone,Qualcomm MSM8974AC,1080x1920,480,armeabi-v7a;armeabi,19;21;23,3.0;;;;;
HTC,One M9+,htc_hiau_ml_tuhl,2641-2715MB,Phone,Mediatek MT6795,1440x2560,640,arm64-v8a;armeabi-v7a;armeabi,21;23,3.0;;;;;
HTC,One M8 eye 4G LTE,htc_melstuhl,1823MB,Phone,Qualcomm MSM8974AA,1080x1920,480,armeabi-v7a;armeabi,19;21;23,3.0;;;;;
HTC,One (M8) (4G LTE ÂèåÂç°ÂèåÂæÖ ËÅîÈÄöÁâà),htc_m8dug,1823MB,Phone,Qualcomm MSM8974AC,1080x1920,480,armeabi-v7a;armeabi,19;21;23,3.0;;;;;
HTC,One (M8),htc_m8,1823-1827MB,Phone,Qualcomm MSM8974AB,1080x1920,480,armeabi-v7a;armeabi,19;21;22;23,3.0;;;;
HTC,One (M8),htc_m8whl,1823MB,Phone,Qualcomm MSM8974AB,1080x1920,480,armeabi-v7a;armeabi,19;21;23,3.0;;;;;
HTC,One (M8),htc_m8dwg,1823MB,Phone,Qualcomm MSM8974AC,1080x1920,480,armeabi-v7a;armeabi,19;21;23,3.0;;;;;
HTC,One (M8),htc_m8wl,1823MB,Phone,Qualcomm MSM8974AB,1080x1920,480,armeabi-v7a;armeabi,19;21;23,3.0;;;;;
HTC,M9px,htc_hiaur_ml_tuhl,2641-2715MB,Phone,Mediatek MT6795,1440x2560,640,arm64-v8a;armeabi-v7a;armeabi,21;23,3.0;;;;;
HTC,J One,m7wlj,1552-1782MB,Phone,Qualcomm APQ8064,1080x1920,480,armeabi-v7a;armeabi,16;17;19,2.0;3.0;;;;
HTC,EVO 3D,shooter,,,Qualcomm MSM8660,960x540,240,armeabi-v7a;armeabi,10;15,2.0;;;;;;
HTC,One S Special Edition,villeplus,761MB,Phone,Qualcomm MSM8260A,540x960,240,armeabi-v7a;armeabi,16,2.0;;;;;;;
HTC,Butterfly s 9060,dlpdug,1559MB,Phone,Qualcomm APQ8064,1080x1920,480,armeabi-v7a;armeabi,17;19,2.0;3.0;;;;;
HTC,AT&T HTC One X+,evitareul,971-985MB,Phone,NVidia Tegra 3 AP37,720x1280,320,armeabi-v7a;armeabi,16;17,2.0;;;;;;
HTC,One X+,enrc2b,971-985MB,Phone,NVidia Tegra 3 AP37,720x1280,320,armeabi-v7a;armeabi,16;17,2.0;;;;;;
HTC,M8t,htc_m8tl,1823MB,Phone,Qualcomm MSM8974AC,1080x1920,480,armeabi-v7a;armeabi,19;21;23,3.0;;;;;
HTC,One X9 dual sim,htc_e56ml_dtul,2776-2791MB,Phone,Mediatek MT6795,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,21;23,3.0;;;;;
HTC,10,htc_pmeuhl,3764-3767MB,Phone,Qualcomm MSM8996,1440x2560,640,arm64-v8a;armeabi-v7a;armeabi,23;24;26,3.1;3.ﬁub;;;
HTC,10,htc_pmewl,3764-3767MB,Phone,Qualcomm MSM8996,1440x2560,640,arm64-v8a;armeabi-v7a;armeabi,23;24;26,3.1;3.ﬁub;;;
HTC,10,htc_pmeuhljapan,3764-3767MB,Phone,Qualcomm MSM8996,1440x2560,640,arm64-v8a;armeabi-v7a;armeabi,23;24;26,3.1;3.ﬁub;;;
HTC,10,htc_pmec2tuhl,2745MB,Phone,Qualcomm MSM8976,1440x2560,640,arm64-v8a;armeabi-v7a;armeabi,23;24,3.1;3.ﬁub;;;;
HTC,10,htc_pmewhl,3764-3768MB,Phone,Qualcomm MSM8996,1440x2560,640,arm64-v8a;armeabi-v7a;armeabi,23;24;26,3.1;3.ﬁub;;;
HTC,first,mystul,791MB,Phone,Qualcomm MSM8930,720x1280,320,armeabi-v7a;armeabi,16,2.0;;;;;;;
HTC,EVO 3D X515m,shooteru,,Phone,Qualcomm MSM8260,540x960,240,armeabi-v7a;armeabi,10;15,2.0;;;;;;
HTC,One A9,htc_hiaeuhl,1790-1792MB,Phone,Qualcomm MSM8952,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23;24,3.1;3.ﬁub;;;;
